concept_id,category,data_value,gest_value
35779252,MTX,N/A,
35779253,MTX,N/A,
35779254,MTX,N/A,
35779603,MTX,N/A,
35779604,MTX,N/A,
35781435,MTX,N/A,
35781436,MTX,N/A,
35781444,MTX,N/A,
35781445,MTX,N/A,
35781452,MTX,N/A,
35781455,MTX,N/A,
35781456,MTX,N/A,
35781459,MTX,N/A,
35781581,MTX,N/A,
35781730,MTX,N/A,
35782030,MTX,N/A,
35782177,MTX,N/A,
35782332,MTX,N/A,
35782474,MTX,N/A,
35782640,MTX,N/A,
35782641,MTX,N/A,
35782814,MTX,N/A,
35782871,MTX,N/A,
43766603,CONTRA,N/A,
43766605,CONTRA,N/A,
43772745,CONTRA,N/A,
43772746,CONTRA,N/A,
43780363,CONTRA,N/A,
43780364,CONTRA,N/A,
43780365,CONTRA,N/A,
43781455,CONTRA,N/A,
43781456,CONTRA,N/A,
43781458,CONTRA,N/A,
43781459,CONTRA,N/A,
43781460,CONTRA,N/A,
43781461,CONTRA,N/A,
43781464,CONTRA,N/A,
43781465,CONTRA,N/A,
43781467,CONTRA,N/A,
43781471,CONTRA,N/A,
43781472,CONTRA,N/A,
43781473,CONTRA,N/A,
43781475,CONTRA,N/A,
21167241,MTX,N/A,
21167262,MTX,N/A,
21167268,MTX,N/A,
21167272,MTX,N/A,
21167647,MTX,N/A,
21167648,MTX,N/A,
21167897,MTX,N/A,
21167910,MTX,N/A,
21167911,MTX,N/A,
21167912,MTX,N/A,
21172269,MTX,N/A,
21172270,MTX,N/A,
21172271,MTX,N/A,
21172272,MTX,N/A,
21172273,MTX,N/A,
21172275,MTX,N/A,
21172276,MTX,N/A,
21172277,MTX,N/A,
21172279,MTX,N/A,
21175624,MTX,N/A,
21175627,MTX,N/A,
21175629,MTX,N/A,
21176746,MTX,N/A,
21176936,MTX,N/A,
21177090,MTX,N/A,
21177627,MTX,N/A,
21177630,MTX,N/A,
35100617,MTX,N/A,
35100884,MTX,N/A,
35101471,MTX,N/A,
35101473,MTX,N/A,
35101482,MTX,N/A,
35101984,MTX,N/A,
35101986,MTX,N/A,
35102011,MTX,N/A,
35102012,MTX,N/A,
35102014,MTX,N/A,
35102016,MTX,N/A,
35102023,MTX,N/A,
